feature,importance
age,0.4183536150954046
ballroom_partner_Artem Chigvintsev,0.06589633017655219
ballroom_partner_Witney Carson,0.05743850218320162
ballroom_partner_Valentin Chmerkovskiy,0.05147031733178472
industry_clean_Social Media Personality,0.02984257762888761
ballroom_partner_Emma Slater,0.027020153899217646
industry_clean_TV Personality,0.02451903250161319
ballroom_partner_Derek Hough,0.024215152989625698
industry_clean_Athlete,0.024127627734440167
ballroom_partner_Sasha Farber,0.022752389473426074
ballroom_partner_Sharna Burgess,0.016687316500486146
industry_clean_Singer/Rapper,0.01537448318427277
ballroom_partner_Ashly DelGrosso,0.014911248350435134
ballroom_partner_Allison Holker,0.014808479721260944
home_country_clean_United States,0.013407584778445017
ballroom_partner_Tony Dovolani,0.011243351849919096
ballroom_partner_Lacey Schwimmer,0.009679776372355802
home_country_clean_Russia,0.00953523868506486
ballroom_partner_Daniella Karagach,0.00925272259869438
industry_clean_Model,0.008396967365581012
ballroom_partner_Alan Bersten (Rashad Jennings week 9),0.007458851952060517
home_country_clean_England,0.006814656203537992
ballroom_partner_Peta Murgatroyd,0.006669283547109525
ballroom_partner_Jenna Johnson,0.006481809911800408
home_country_clean_Croatia,0.006375163861604528
ballroom_partner_Mark Ballas,0.005654419453241107
ballroom_partner_Chelsie Hightower,0.005343427158857362
industry_clean_Comedian,0.005037931615775761
ballroom_partner_Edyta Sliwinska,0.00457253168005244
ballroom_partner_Britt Stewart,0.004558954036249492
home_country_clean_Canada,0.004203970628493951
industry_clean_Entrepreneur,0.003824719135406326
home_country_clean_Italy,0.0036121091844993967
industry_clean_Fitness Instructor,0.003611730965304742
industry_clean_Radio Personality,0.0033722515978761693
ballroom_partner_Elena Grinenko,0.0033376614137407908
ballroom_partner_Lindsay Arnold,0.0032679851285028036
ballroom_partner_Gleb Savchenko,0.003028312469378136
ballroom_partner_Karina Smirnoff,0.002838452559069346
ballroom_partner_Maksim Chmerkoskiy,0.002705577484817359
ballroom_partner_Julianne Hough,0.0024975760274595234
ballroom_partner_Pasha Pashkov,0.0024128940268014743
ballroom_partner_Cheryl Burke,0.0024014257996454553
ballroom_partner_Alec Mazo,0.002395522699001334
home_country_clean_Yugoslavia,0.001996154902772007
ballroom_partner_Louis van Amstel,0.0019480082138744702
ballroom_partner_Ezra Sosa (Apolo Anton Ohno week 9),0.0017746553725781111
ballroom_partner_Anna Trebunskaya,0.0014545480140259765
industry_clean_Con artist,0.0014018457726438244
ballroom_partner_Daniella Karagach (Rumer Willis week 9),0.0013896352637051037
industry_clean_Conservationist,0.0012483277355390808
industry_clean_Motivational Speaker,0.001238716255244262
home_country_clean_Australia,0.001234809737608618
ballroom_partner_Val Chmerkovskiy (Joey Graziadei week 9),0.001131220752152646
ballroom_partner_Rylee Arnold,0.001067981014894143
ballroom_partner_Witney Carson (Xoshitl Gomez week 9),0.0009095608703962569
industry_clean_Politician,0.0008726321927698148
ballroom_partner_Brandon Armstrong,0.0008190818751278953
ballroom_partner_Keo Motsepe,0.0007188629524491923
industry_clean_Social media personality,0.0007059077743227551
home_country_clean_Czechoslovakia,0.0006977555794635781
ballroom_partner_Jonathan Roberts,0.0006804747329822039
ballroom_partner_Ezra Sosa,0.0006452733030766288
ballroom_partner_Dmitry Chaplin,0.0006353944313219752
home_country_clean_Taiwan China,0.0006037555550210752
ballroom_partner_Corky Ballas,0.0005822365952785503
ballroom_partner_Koko Iwasaki,0.00041989118728948506
home_country_clean_Mexico,0.00040022394718754325
industry_clean_Fashion Designer,0.000397528915752461
industry_clean_Musician,0.00032558165806571924
ballroom_partner_Val Chmerkovskiy,0.00029767439624249037
home_country_clean_Germany,0.0002655632162757243
industry_clean_Journalist,0.0002606910703779026
industry_clean_Astronaut,0.0002605205774239111
industry_clean_Racing Driver,0.00025462274789282913
ballroom_partner_Kym Johnson,0.00023747597689307916
ballroom_partner_Emma Slater/Kaitlyn Bristowe (week 9),0.00023402355447892749
ballroom_partner_Tristan MacManus,0.00022925045833833437
industry_clean_News Anchor,0.0002268730691890437
home_country_clean_France,0.000168836514171435
ballroom_partner_Jan Ravnik,0.00015110462474816262
industry_clean_Sports Broadcaster,0.00014965037695036521
home_country_clean_Spain,0.0001492900958323828
ballroom_partner_Jesse DeSoto,9.55624415262832e-05
ballroom_partner_Damian Whitewood,6.8690441274754e-05
home_country_clean_Wales,6.640783738711085e-05
home_country_clean_Venezuela,4.578604534804151e-05
ballroom_partner_Tyne Stecklein,4.013200884100626e-05
home_country_clean_Poland,3.0370783713437736e-05
home_country_clean_Brazil,2.4296552299586256e-05
home_country_clean_Chile,1.9110906231277267e-05
ballroom_partner_Anna Demidova,1.2831895148789085e-05
home_country_clean_New Zealand,6.334623621512432e-07
home_country_clean_South Africa,4.493805548655343e-07
industry_clean_Military,0.0
home_country_clean_South Korea,0.0
ballroom_partner_Andrea Hale,0.0
home_country_clean_Philippines,0.0
home_country_clean_Cuba,0.0
ballroom_partner_Kym Herjavec,0.0
home_country_clean_Ireland,0.0
ballroom_partner_Brian Fortuna,0.0
ballroom_partner_Charlotte Jorgensen,0.0
ballroom_partner_Inna Brayer,0.0
ballroom_partner_Henry Byalikov,0.0
industry_clean_Beauty Pagent,0.0
ballroom_partner_Nick Kosovich,0.0
ballroom_partner_Fabian Sanchez,0.0
industry_clean_Magician,0.0
industry_clean_Producer,0.0
